ID,Realm,Status,Severity,Affected Team,Affected Products,Root Cause Services,Year,MTTD (hours),MTTR (hours),Incident Duration (hours)
229,Machines Realm II - MSW & FH,Closed,Non-Critical,XT | MSW,Smart Strength | Genius,Workout-Streak,Apr 2026,0.75,1.5,5.98
228,Wellpass,Closed,Critical,WP Access Experience,Gymlib,Anticorr-Keepcool,Apr 2026,4.93,6.43,7.11
225,Unassigned Realm,Closed,Critical,Unassigned,Smart Strength,,Mar 2026,2.55,2.63,3.26
224,Wellpass,Closed,Critical,WP Discovery | WP Access Experience | Users and Locations,Wellpass,Galaxy,Mar 2026,0.9,2.14,2.18
224,Core,Closed,Critical,WP Discovery | WP Access Experience | Users and Locations,Wellpass,Galaxy,Mar 2026,0.9,2.14,2.18
223,Core,Closed,Non-Critical,Users and Locations,Branded Member App (BMA),Upds,Mar 2026,0.55,0.72,0.83
222,Apps,Closed,Critical,XT,Genius,Activity-Library,Mar 2026,0.7,2.4,2.4
221,Wellpass,Closed,Critical,WP Access Experience,Wellpass,Class-Booking-Backend,Mar 2026,23.02,23.07,23.86
220,Wellpass,Closed,Critical,WP Company Growth,Wellpass,Gymfinder-backend,Dec 2025,1672.68,1674.45,1816.28
219,Machines Realm II - MSW & FH,Closed,Critical,MSW,Smart Strength,Relm,Mar 2026,11.92,12.35,40.15
218,Core,Closed,Critical,Core Workouts,Branded Member App (BMA),Advanced-Workouts,Feb 2026,575.0,575.2,576.26
217,Core,Closed,Critical,Users and Locations,Branded Member App (BMA),Galaxy,Mar 2026,0.13,2.07,2.97
216,Apps,Closed,Critical,XT,Genius,Workout-Prediction,Mar 2026,1.42,1.57,1.71
215,Apps,Closed,Critical,XT,Branded Member App (BMA) | Wellpass,Affected Service is missing in List! (Ping SRE),Feb 2026,,7.05,7.6
214,Realm Support Services,Closed,Critical,MSW | SRE,,B2B Partner API | Cardio Test | Inbody Adapter | Partner API | Life Fitness Adapter,Feb 2026,0.87,1.28,1.32
214,Machines Realm II - MSW & FH,Closed,Critical,MSW | SRE,,B2B Partner API | Cardio Test | Inbody Adapter | Partner API | Life Fitness Adapter,Feb 2026,0.87,1.28,1.32
213,Apps,Closed,Non-Critical,Trainer | BMA,,GCP,Jan 2026,,,
212,Wellpass,Closed,Critical,WP Partner Integrations | WP Access Experience,,Anticorr-Deciplus,Jan 2026,0.13,0.77,0.37
211,Core,Closed,Critical,Trainer | Core Workouts,Trainer App,Trainer-Task-Service,Jan 2026,0.2,0.33,14.97
211,Apps,Closed,Critical,Trainer | Core Workouts,Trainer App,Trainer-Task-Service,Jan 2026,0.2,0.33,14.97
210,Wellpass,Closed,Non-Critical,WP Offer Acquisition | WP Discovery,Wellpass,Gymlib-Backend,Jan 2026,43.32,44.18,44.2
209,Core,Closed,Critical,Users and Locations | MSW,Fitness Hub | Smart Strength,Upds,Dec 2025,0.3,0.65,0.79
209,Machines Realm II - MSW & FH,Closed,Critical,Users and Locations | MSW,Fitness Hub | Smart Strength,Upds,Dec 2025,0.3,0.65,0.79
206,Wellpass,Closed,Non-Critical,WP Access Experience,Wellpass,Class-Booking-Backend,Nov 2025,47.95,222.28,222.28
202,Apps,Closed,Critical,Trainer | XT,,Affected Service is missing in List! (Ping SRE),Nov 2025,6.6,6.6,6.6
201,Wellpass,Closed,Non-Critical,WP Access Experience,,Gymlib-Backend,Nov 2025,49.0,64.8,64.8
200,Wellpass,Closed,Critical,WP Access Experience,,Class-Booking-Backend,Nov 2025,3.97,4.13,4.25
199,Wellpass,Closed,Critical,WP Offer Acquisition,,Gymlib-Backend,Nov 2025,3.62,3.62,3.62
198,Wellpass,Closed,Critical,WP Access Experience,,Class-Booking-Backend,Oct 2025,0.42,0.5,0.5
197,Realm Support Services,Closed,Critical,SRE | Users and Locations,,Server-Checkin,Oct 2025,0.46,0.51,0.96
197,Core,Closed,Critical,SRE | Users and Locations,,Server-Checkin,Oct 2025,0.46,0.51,0.96
196,Core,Closed,Critical,Core Workouts | Trainer,,Trainer-Task-Service,Oct 2025,0.58,0.73,0.73
196,Apps,Closed,Critical,Core Workouts | Trainer,,Trainer-Task-Service,Oct 2025,0.58,0.73,0.73
194,Wellpass,Closed,Critical,WP Access Experience,,Class-Booking-Backend,Sep 2025,360.0,532.18,532.25
192,Wellpass,Closed,Critical,WP Offer Acquisition,,Qualitrain-User-Service,Dec 2024,0.23,4.83,0.6
191,Wellpass,Closed,Critical,WP Discovery | WP Access Experience,,Qualitrain-Checkin-Service,Sep 2025,17.63,17.7,17.79
190,Wellpass,Closed,Critical,WP Access Experience,,Class-Booking-Backend,Sep 2025,0.13,0.5,0.54
189,Apps,Closed,Non-Critical,XT,,Affected Service is missing in List! (Ping SRE),Sep 2025,,,17.75
188,Wellpass,Closed,Non-Critical,WP Access Experience,,Anticorr-Mindbody | Anticorr-Zenoti | OneMMS Service | Anticorr Marianatek | Anticorr-Bsport | Class-Booking-Backend,Aug 2025,30.25,169.83,311.47
187,Wellpass,Closed,Non-Critical,WP Discovery | WP Company Growth,,Affected Service is missing in List! (Ping SRE),Aug 2025,26.43,27.28,27.05
186,Wellpass,Closed,Non-Critical,WP Company Growth,,Qualitrain-User-Frontend,Aug 2025,242.35,242.95,242.95
183,Core,Closed,Critical,Core Workouts,,Server-Monolith,Jul 2025,0.08,0.38,0.62
179,Core,Closed,Critical,Users and Locations,,GCP,Jun 2025,0.07,1.0,1.48
178,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Partner-Gui,Jun 2025,3.01,4.33,4.25
176,Core,Closed,Critical,XT | BMA | Core Workouts,Branded Member App (BMA),Server-Workout,Jun 2025,6.48,7.07,7.25
176,Apps,Closed,Critical,XT | BMA | Core Workouts,Branded Member App (BMA),Server-Workout,Jun 2025,6.48,7.07,7.25
175,Wellpass,Closed,Critical,WP Access Experience,,Anticorr Eversports,May 2025,0.12,0.28,0.53
174,Machines Realm II - MSW & FH,Closed,Critical,MSW,,B2B Partner API,May 2025,3.98,4.85,4.85
173,Core,Closed,Critical,Users and Locations,,Galaxy,May 2025,1.32,1.95,1.67
167,Wellpass,Closed,Critical,WP Access Experience,,Gymlib-Backend,Apr 2025,99.51,3.5,99.89
166,Wellpass,Closed,Critical,WP Access Experience | WP Discovery,,Qualitrain-Api-Service | Galaxy,Apr 2025,0.18,0.6,0.72
162,Core,Closed,Critical,Digital-Operations,,adm-int,Apr 2025,0.0,1.3,1.32
161,Apps,Closed,Critical,Web,,DNS,Apr 2025,1.0,1.67,1.82
157,Wellpass,Closed,Critical,WP Access Experience,,Qualitrain-Checkin-Service,Apr 2025,0.22,0.31,2.29
155,Apps,Closed,Critical,Trainer,,Trainer-Task-Service | Mobile-Trainer-API,Mar 2025,,,
154,Wellpass,Closed,Non-Critical,Core Workouts | WP Discovery,,Virtual-Classes,Mar 2025,163.8,164.47,164.97
154,Core,Closed,Non-Critical,Core Workouts | WP Discovery,,Virtual-Classes,Mar 2025,163.8,164.47,164.97
151,Wellpass,Closed,Critical,WP Offer Acquisition | WP Access Experience | WP Discovery | WP Company Growth,,Qualitrain-Checkin-Service,Mar 2025,0.08,0.17,0.35
150,Wellpass,Closed,Non-Critical,WP Access Experience,,Class-Booking-Backend,Mar 2025,0.05,0.23,0.25
149,Apps,Closed,Critical,MMS-Connect,,OneMMS Service,Feb 2025,0.12,0.33,0.91
148,Apps,Closed,Critical,MMS-Connect,,OneMMS Service,Feb 2025,0.03,0.28,0.75
147,Apps,Closed,Critical,MMS-Connect,,OneMMS Service,Feb 2025,0.88,1.67,3.47
146,Core,Closed,Critical,Core Workouts | Users and Locations,,Mobile-Api,Feb 2025,24.92,51.12,87.4
144,Wellpass,Closed,Critical,WP Discovery | WP Company Growth | WP Offer Acquisition | WP Access Experience,,Gymlib-Backend,Jan 2025,0.15,0.62,0.84
142,Wellpass,Closed,Non-Critical,WP Company Growth,,Gymlib-Backend,Jan 2025,24.95,272.12,272.12
141,Core,Closed,Critical,Core Workouts,,Galaxy,Jan 2025,0.96,1.53,2.75
140,Core,Closed,Critical,XT | BMA | Users and Locations,,Activity-Library,Jan 2025,0.92,1.15,2.22
140,Apps,Closed,Critical,XT | BMA | Users and Locations,,Activity-Library,Jan 2025,0.92,1.15,2.22
139,Wellpass,Closed,Critical,WP Discovery | WP Company Growth | WP Offer Acquisition,,Qualitrain-User-Service,Jan 2025,0.22,0.32,0.5
137,Wellpass,Closed,Critical,WP Company Growth,,Qualitrain-User-Service,Nov 2024,171.84,179.22,179.23
136,Wellpass,Closed,Non-Critical,WP Company Growth,,Qualitrain-User-Service,Nov 2024,1.25,103.53,103.53
135,Wellpass,Closed,Non-Critical,WP Offer Acquisition,,Qualitrain-User-Service,Nov 2024,138.6,139.1,139.1
134,Apps,Closed,Critical,MMS-Connect,,Anticorr-Magicline | Upds,Nov 2024,9.48,11.77,11.77
133,Core,Closed,Critical,Core Workouts,,Galaxy | Advanced-Workouts,Nov 2024,2.33,2.95,4.48
131,Wellpass,Closed,Non-Critical,WP Company Growth,,Qualitrain-User-Service,Sep 2024,4.85,6.78,6.78
129,Core,Closed,Critical,Digital-Operations,,,Sep 2024,13.75,14.78,15.14
127,Wellpass,Closed,Non-Critical,WP Company Growth,,Qualitrain-User-Service,Apr 2024,3102.2,3144.75,4110.37
125,Wellpass,Closed,Critical,WP Company Growth | WP Discovery,,Gymfinder-backend,Aug 2024,0.67,1.02,1.08
124,Core,Closed,Critical,Core Workouts,,Galaxy,Aug 2024,0.07,0.47,0.59
123,Wellpass,Closed,Critical,WP Discovery,,Qualitrain-Checkin-Service,Aug 2024,0.4,0.45,0.55
122,Wellpass,Closed,Critical,WP Company Growth,,Qualitrain-User-Frontend,Aug 2024,16.48,16.93,16.93
119,Core,Closed,Critical,BMA | Core Workouts,,Ingress-nginx-internal,Jun 2024,41.83,46.33,46.37
119,Apps,Closed,Critical,BMA | Core Workouts,,Ingress-nginx-internal,Jun 2024,41.83,46.33,46.37
118,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Machine-Training,May 2024,0.62,0.61,1.24
116,Core,Closed,Critical,XT | Users and Locations,,Server-Workout,May 2024,120.15,120.21,120.41
116,Apps,Closed,Critical,XT | Users and Locations,,Server-Workout,May 2024,120.15,120.21,120.41
115,Wellpass,Closed,Critical,WP Access Experience,,Pulsar,Apr 2024,4.35,4.4,5.57
114,Realm Support Services,Closed,Critical,Digital-Operations | MI | SRE | MSW,,adm-int,Apr 2024,0.37,0.65,0.87
114,Machines Realm I - OS&FW,Closed,Critical,Digital-Operations | MI | SRE | MSW,,adm-int,Apr 2024,0.37,0.65,0.87
114,Core,Closed,Critical,Digital-Operations | MI | SRE | MSW,,adm-int,Apr 2024,0.37,0.65,0.87
114,Machines Realm II - MSW & FH,Closed,Critical,Digital-Operations | MI | SRE | MSW,,adm-int,Apr 2024,0.37,0.65,0.87
113,Core,Closed,Critical,Core Workouts,,Galaxy,Apr 2024,0.67,1.33,1.88
112,Core,Closed,Critical,Core Workouts,,Galaxy,Apr 2024,0.27,3.5,22.3
108,Core,Closed,Critical,Users and Locations,,Activity-Library,Mar 2024,0.84,1.05,1.11
107,Wellpass,Closed,Critical,WP Discovery,,Affected Service is missing in List! (Ping SRE),Mar 2024,58.87,59.73,63.62
106,Apps,Closed,Critical,MSW | XT,,User-Journey,Mar 2024,0.53,0.62,0.62
106,Machines Realm II - MSW & FH,Closed,Critical,MSW | XT,,User-Journey,Mar 2024,0.53,0.62,0.62
104,Core,Closed,Critical,Users and Locations,,Upds,Jan 2024,0.42,1.65,1.75
103,Core,Closed,Critical,Core Workouts,,Galaxy,Jan 2024,0.5,1.24,4.11
102,Realm Support Services,Closed,Critical,SRE | Core Workouts,,Galaxy,Dec 2023,0.67,0.92,1.0
102,Core,Closed,Critical,SRE | Core Workouts,,Galaxy,Dec 2023,0.67,0.92,1.0
101,Realm Support Services,Closed,Critical,Users and Locations | SRE,,Upds,Dec 2023,0.6,2.43,2.98
101,Core,Closed,Critical,Users and Locations | SRE,,Upds,Dec 2023,0.6,2.43,2.98
100,Realm Support Services,Closed,Critical,BMA | SRE,,AWS,Dec 2023,6.67,5.0,5.0
100,Apps,Closed,Critical,BMA | SRE,,AWS,Dec 2023,6.67,5.0,5.0
99,Core,Closed,Critical,Users and Locations | MSW,,Server-Monolith,Dec 2023,0.33,0.37,0.44
99,Machines Realm II - MSW & FH,Closed,Critical,Users and Locations | MSW,,Server-Monolith,Dec 2023,0.33,0.37,0.44
91,Machines Realm I - OS&FW,Closed,Critical,MI,,Affected Service is missing in List! (Ping SRE),Nov 2023,0.82,0.88,1.29
90,Wellpass,Closed,Critical,WP Company Growth | Users and Locations | WP Discovery,,Mandrill,Nov 2023,2.83,3.12,3.19
90,Core,Closed,Critical,WP Company Growth | Users and Locations | WP Discovery,,Mandrill,Nov 2023,2.83,3.12,3.19
89,Wellpass,Closed,Critical,WP Discovery,,Gymlib-Backend,Nov 2023,0.19,0.57,0.86
88,Wellpass,Closed,Critical,WP Access Experience,,Gymlib-Backend,Nov 2023,0.0,1.5,1.6
86,Machines Realm I - OS&FW,Closed,Critical,MI,,Relm,Oct 2023,72.83,74.83,74.83
85,Core,Closed,Critical,Core Workouts,,Galaxy,Nov 2023,0.27,0.58,1.82
84,Core,Closed,Critical,Core Workouts,,Galaxy,Oct 2023,4.62,6.02,6.02
82,Apps,Closed,Critical,BMA,,Galaxy,Oct 2023,0.0,1.59,2.29
81,Apps,Closed,Critical,MMS-Connect,,Anticorr-Magicline,Oct 2023,12.95,35.77,103.98
80,Apps,Closed,Critical,BMA,,Galaxy,Sep 2023,1.52,4.34,6.98
79,Core,Closed,Critical,Core Workouts,,Galaxy,Sep 2023,0.17,0.81,1.36
78,Core,Closed,Critical,Core Workouts,,Galaxy,Sep 2023,0.67,0.67,1.59
77,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Affected Service is missing in List! (Ping SRE),Sep 2023,70.23,2.47,74.52
76,Wellpass,Closed,Critical,WP Company Growth,,Affected Service is missing in List! (Ping SRE),May 2023,2656.0,2680.33,2680.33
75,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Machine-Training,Sep 2023,0.02,0.27,0.27
74,Core,Closed,Critical,Trainer | Users and Locations | Core Workouts,,Activity-Library,Sep 2023,0.21,0.69,0.84
74,Apps,Closed,Critical,Trainer | Users and Locations | Core Workouts,,Activity-Library,Sep 2023,0.21,0.69,0.84
72,Apps,Closed,Critical,MMS-Connect,,Anticorr-Magicline,Aug 2023,2.61,2.13,2.14
71,Core,Closed,Critical,Core Workouts | Users and Locations | Trainer | BMA | MSW,,Measurements,Aug 2023,0.07,0.13,0.94
71,Apps,Closed,Critical,Core Workouts | Users and Locations | Trainer | BMA | MSW,,Measurements,Aug 2023,0.07,0.13,0.94
71,Machines Realm II - MSW & FH,Closed,Critical,Core Workouts | Users and Locations | Trainer | BMA | MSW,,Measurements,Aug 2023,0.07,0.13,0.94
70,Apps,Closed,Critical,BMA,,Affected Service is missing in List! (Ping SRE),Aug 2023,2.66,3.7,5.17
69,Core,Closed,Critical,Users and Locations,,Upds,Jul 2023,0.91,0.7,1.88
68,Wellpass,Closed,Critical,WP Discovery | WP Company Growth,,Mandrill,Jul 2023,7.33,7.41,7.7
67,Core,Closed,Critical,Users and Locations | MSW,,Upds,Jun 2023,1.57,3.24,3.33
67,Machines Realm II - MSW & FH,Closed,Critical,Users and Locations | MSW,,Upds,Jun 2023,1.57,3.24,3.33
66,Apps,Closed,Critical,Web,,Affected Service is missing in List! (Ping SRE),May 2023,,,
65,Core,Closed,Critical,Users and Locations,,Upds,May 2023,0.63,5.0,5.42
64,Wellpass,Closed,Critical,WP Discovery | WP Company Growth | Users and Locations,,Mandrill,May 2023,3.8,3.9,4.12
64,Core,Closed,Critical,WP Discovery | WP Company Growth | Users and Locations,,Mandrill,May 2023,3.8,3.9,4.12
62,Wellpass,Closed,Critical,WP Company Growth | WP Discovery,,Qualitrain-Api-Service,May 2023,0.69,1.02,1.48
61,Core,Closed,Critical,Core Workouts | BMA,,Galaxy,Apr 2023,0.62,0.69,0.89
61,Apps,Closed,Critical,Core Workouts | BMA,,Galaxy,Apr 2023,0.62,0.69,0.89
60,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Affected Service is missing in List! (Ping SRE),Apr 2023,7.75,8.42,8.69
59,Apps,Closed,Critical,Trainer,,PDF-Service,Apr 2023,0.48,0.66,0.93
58,Core,Closed,Critical,Core Workouts | MSW,,Measurements,Apr 2023,21.75,22.0,22.8
58,Machines Realm II - MSW & FH,Closed,Critical,Core Workouts | MSW,,Measurements,Apr 2023,21.75,22.0,22.8
56,Core,Closed,Critical,Users and Locations,,Server-Monolith,Apr 2023,0.12,0.38,0.42
53,Wellpass,Closed,Critical,Users and Locations | BMA | WP Discovery,,Galaxy,Mar 2023,6.91,19.9,30.83
53,Core,Closed,Critical,Users and Locations | BMA | WP Discovery,,Galaxy,Mar 2023,6.91,19.9,30.83
53,Apps,Closed,Critical,Users and Locations | BMA | WP Discovery,,Galaxy,Mar 2023,6.91,19.9,30.83
44,Realm Support Services,Closed,Critical,WP Discovery | Core Workouts | BMA | SRE | Web,,Galaxy,Feb 2023,1.03,1.04,2.94
44,Wellpass,Closed,Critical,WP Discovery | Core Workouts | BMA | SRE | Web,,Galaxy,Feb 2023,1.03,1.04,2.94
44,Core,Closed,Critical,WP Discovery | Core Workouts | BMA | SRE | Web,,Galaxy,Feb 2023,1.03,1.04,2.94
44,Apps,Closed,Critical,WP Discovery | Core Workouts | BMA | SRE | Web,,Galaxy,Feb 2023,1.03,1.04,2.94
43,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Partner-Gui,Dec 2022,3.12,3.21,3.41
42,Core,Closed,Critical,Users and Locations | Core Workouts | BMA,,Activity-Library | Advanced-Workouts,Oct 2022,0.56,0.79,1.41
42,Apps,Closed,Critical,Users and Locations | Core Workouts | BMA,,Activity-Library | Advanced-Workouts,Oct 2022,0.56,0.79,1.41
41,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Device-Gateway,Oct 2022,1.01,1.15,1.22
40,Realm Support Services,Closed,Critical,SRE,,Affected Service is missing in List! (Ping SRE),Sep 2022,9.13,9.27,9.41
39,Core,Closed,Critical,Users and Locations | MSW,,Server-Monolith,Aug 2022,0.35,0.35,0.38
39,Machines Realm II - MSW & FH,Closed,Critical,Users and Locations | MSW,,Server-Monolith,Aug 2022,0.35,0.35,0.38
37,Apps,Closed,Critical,Trainer,,Trainer-Task-Service,Aug 2022,0.88,0.93,1.08
36,Core,Closed,Critical,BMA | Users and Locations | Core Workouts,,Server-Workout,Aug 2022,0.6,0.7,0.9
36,Apps,Closed,Critical,BMA | Users and Locations | Core Workouts,,Server-Workout,Aug 2022,0.6,0.7,0.9
35,Wellpass,Closed,Critical,WP Company Growth,,Qualitrain-Api-Service,Aug 2022,1.68,2.36,2.56
34,Core,Closed,Critical,Core Workouts | BMA | Users and Locations,,Server-Monolith | Upds | Galaxy,Jul 2022,2.0,5.58,30.91
34,Apps,Closed,Critical,Core Workouts | BMA | Users and Locations,,Server-Monolith | Upds | Galaxy,Jul 2022,2.0,5.58,30.91
33,Core,Closed,Critical,Core Workouts,,Advanced-Workouts,Jun 2022,0.46,1.15,26.49
32,Core,Closed,Critical,MSW | Users and Locations,,Machine-Backend,Jun 2022,1.21,1.35,1.47
32,Machines Realm II - MSW & FH,Closed,Critical,MSW | Users and Locations,,Machine-Backend,Jun 2022,1.21,1.35,1.47
30,Realm Support Services,Closed,Critical,Users and Locations | SRE,,Server-Gyms,Jun 2022,0.6,0.68,1.02
30,Core,Closed,Critical,Users and Locations | SRE,,Server-Gyms,Jun 2022,0.6,0.68,1.02
